번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,"다음 중 비행정보구역, 관제구, 관제권의 설정기준에 대한 설명으로 가장 옳지 않은 것은?",,비행정보구역은 고고도비행정보구역에 의해 범위가 제한되는 경우를 제외하고는 수평범위 내의 모든 공역을 포함하여야 한다.,"관제구의 하부한계가 해발 900미터(3,000피트) 보다 높을 경우, 시계비행규칙(VFR) 순항고도와 일치시켜야 한다.",관제권의 수평범위는 비행장의 중심으로부터 접근 방향으로 최소한 9.3km(5NM)까지 연장되도록 설정하여야 한다.,"관제권이 관제구의 수평범위 바깥에 위치할 경우 상부한계를 설정하여야 하며, 이 한계가 해발 900미터(3,000피트) 보다 높을 경우 시계비행규칙(VFR) 순항고도와 일치시켜야 한다.",2,"해설: 관제구의 하부한계가 해발 900미터(3,000피트) 보다 높을 경우, 시계비행규칙(VFR) 순항고도와 일치시켜야 한다는 규정은 없다. 관제구의 상부한계가 고고도 관제구의 하부한계와 일치할 때 상부한계를 시계비행규칙 순항고도와 일치시켜야 한다. [출처: 항공교통업무기준 제15조]"
2,다음은 주파수변경지점(COP) 설정에 관한 설명이다. 빈칸에 들어갈 내용으로 옳은 것을 보기에서 모두 고른 것은?,"ㄱ. 주파수변경지점은 항공기의 정확한 항행을 지원하기 위하여 길이가 ( A ) 이상인 항공로에 설정하여야 한다.
ㄴ. 직선 항공로의 주파수변경지점은 별도로 정하지 않은 경우 전방향무선표지시설(VOR) 간의 ( B )에 설정하여야 한다.","A: 110km(60NM), B: 중간지점","A: 110km(60NM), B: 교차지점","A: 93km(50NM), B: 중간지점","A: 93km(50NM), B: 교차지점",1,"해설: 주파수변경지점은 길이가 110km(60NM) 이상인 항공로에 설정하며, 직선 항공로의 경우 전방향무선표지시설(VOR) 간의 중간지점에 설정한다. [출처: 항공교통업무기준 제18조]"
3,민간항공기에 대한 잠재적 위험활동에 대한 협조 절차에 대한 설명으로 가장 옳지 않은 것은?,,"잠재적 위험활동을 기획하는 조직이 위치한 국가가 관련 항공교통업무기관의 국가가 아닌 경우, 최초 협의는 해당 기획 조직이 위치한 국가의 항공교통업무제공자와 이루어져야 한다.","잠재적 위험활동의 위치, 시간 및 기간은 정기항공기 운항지연이 발생하지 않도록 설정해야 한다.",비상 상황으로 인하여 활동을 중지시켜야 할 경우에 대비하여 관련 항공교통업무제공자와 행위를 하고자 하는 기관 간에 직통통신망을 설치해야 한다.,항공교통업무제공자는 관련 위험활동에 대해 신속히 안전 위험도 평가를 시행하고 공역 제한 또는 임시적인 항공로 폐쇄 등의 적절한 경감조치를 시행하여야 한다.,1,"해설: 잠재적 위험활동을 기획하는 조직이 위치한 국가가 관련 항공교통업무기관의 국가가 아닌 경우, 최초 협의는 '해당 공역에 대한 책임 있는 국가의 항공교통업무제공자'와 이루어져야 한다. [출처: 항공교통업무기준 제23조]"
4,"항공교통관제 우발절차와 관련하여, 항공교통감시시스템(ATS surveillance system)이 완전히 고장났으나 무선통신이 가능한 경우의 조치로 가장 옳지 않은 것은?",,"비감시 업무를 계속해서 제공하고자 하는 경우, 이미 식별된 모든 항공기의 위치를 도식(plot)한다.","비감시 업무 제공 시 분리최저치를 즉시 적용할 수 없는 경우, 일시적인 비상조치로서 당해 공역에 적용되는 수직 분리최저치의 절반을 적용하여 항공기 안전을 확보한다.",비감시 업무를 계속해서 제공하고자 하는 항공교통관제시설은 모의훈련을 정기교육훈련의 경우 연 1회 이상 실시하여야 한다.,우발절차 시행 전 안전 위험도 평가를 수행하여 허용 가능한 안전수준을 확인하여야 한다.,3,"해설: 항공교통감시시스템 고장 상황에 대한 모의관제훈련은 직무교육훈련 및 정기교육훈련 과정에 포함되어야 하며, 정기교육훈련의 경우 '연 2회 이상' 실시하여야 한다. [출처: 항공교통업무기준 제29조의2]"
5,비행 중 우발상황에서 표류항공기 및 미식별항공기에 대한 조치로 옳은 것을 <보기>에서 모두 고른 것은?,"ㄱ. 표류항공기의 위치가 파악되지 않은 경우, 비행 중인 다른 항공기에게 동 항공기와의 통신설정 및 위치 파악을 위한 협조를 요청한다.
ㄴ. 미식별항공기를 인지한 경우, 인접 비행정보구역을 관할하는 항공교통업무제공자에게 문의하여 양방향교신 유지에 필요한 도움을 요청한다.
ㄷ. 미식별항공기가 불법간섭을 받고 있는 것으로 판단될 때, 관계된 국가에 즉시 그 정보를 통보하여야 한다.
ㄹ. 표류항공기의 위치가 확인되었을 때, 신속하게 관계 군 시설에 통보하고 해당 비행계획을 제공하여야 한다.","ㄱ, ㄴ","ㄱ, ㄷ","ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄷ, ㄹ",3,해설: ㄹ은 틀린 설명이다. 표류항공기의 위치가 확인되었을 때는 '항공기에 위치 및 취하여야 할 수정조치를 조언'하고 '필요시 다른 항공교통업무시설 및 관련 군 시설에 표류항공기에 관한 정보 및 조언을 제공'한다. 비행계획을 제공하는 것은 위치파악이 되지 않은 경우의 조치이다. [출처: 항공교통업무기준 제29조]
6,피로관리(Fatigue Management) 예외 승인 및 연장에 대한 설명으로 가장 옳은 것은?,,항공교통관제시설의 장은 예상하지 못한 갑작스러운 상황 변화에 따라 근무시간 제한을 1개월 이상 적용할 수 없는 경우 국토교통부장관에게 예외 승인을 요청하여야 한다.,"근무시간 제한기준 예외 승인을 받은 후 예상하지 못한 중대한 피로위험요인이 식별되는 경우, 즉시 국토교통부장관에게 보고한 후 원상회복 조치를 취하여야 한다.",항공교통관제시설의 장은 근무시간 제한기준의 예외적 적용 필요성 및 안전수준 유지 여부를 반기별로 평가하여야 한다.,국방부 소속 항공교통관제시설의 장은 동등 이상의 안전기준을 마련하고 국토교통부장관과 사전에 협의한 경우 자체 피로관리 기준을 적용할 수 있다.,4,"해설: 1은 '일시적(1개월 미만)'으로 적용할 수 없는 경우 자체적으로 기록 조치하는 내용과 혼동을 준다. 2는 '즉시 해당 예외적 적용을 중단하고 원상회복 조치를 취한 후' 국토교통부장관에게 보고해야 한다. 3은 '분기별로 평가'하여야 한다. 4가 올바른 설명이다. [출처: 항공교통업무기준 제32조의2, 제32조의3]"
7,수용량 산정(Capacity Management)에 대한 설명으로 가장 옳지 않은 것은?,,"항공교통관제시설은 관제수용량을 매년 2월 말까지 주기적으로 재검토하고, 항공교통흐름관리시설에 통보하여야 한다.","위험 기상이나 장비 장애 등으로 관제수용량에 부정적 영향을 미치는 상황이 발생한 경우, 축소한 운영수용량을 산출하여 통보하여야 한다.",항공교통흐름관리시설은 군이 운영하는 비행장 시설을 사용하여 운항하는 공항에 대하여 관제수용량을 활주로 용량으로 대체하여 적용할 수 있다.,관제수용량 산출 시 항공교통관제시스템의 항공교통관제사 지원 및 경보 기능 가용성은 고려 대상에서 제외된다.,4,해설: 관제수용량 산출 시 '항공교통관제시스템의 항공교통관제사 지원 및 경보 기능 가용성'도 고려하여야 한다. [출처: 항공교통업무기준 제42조의2]
8,항공교통흐름관리(ATFM) 단계에 대한 설명 중 <보기>의 내용과 올바르게 짝지어진 것은?,"ㄱ. 조치가 시행되는 당일을 기준으로 6일 전부터 당일(2시간 전)까지의 기간을 말하며, 일일 항공교통흐름관리 계획서를 발행한다.
ㄴ. 통상적으로 흐름관리 조치 당일 6개월 전부터 일주일 전까지의 기간을 말한다.
ㄷ. 조치 시행 2시간 전부터 실시간을 포함하여 종료 시까지를 말한다.","ㄱ: 전략 단계, ㄴ: 전-전술 단계, ㄷ: 전술 단계","ㄱ: 전-전술 단계, ㄴ: 전략 단계, ㄷ: 전술 단계","ㄱ: 전술 단계, ㄴ: 전략 단계, ㄷ: 전-전술 단계","ㄱ: 전-전술 단계, ㄴ: 전술 단계, ㄷ: 전략 단계",2,"해설: 전략 단계는 6개월~1주일 전, 전-전술 단계는 6일 전~당일 2시간 전, 전술 단계는 2시간 전~종료 시까지를 말한다. [출처: 항공교통업무기준 제42조의3]"
9,음성-공항정보자동방송업무(Voice-ATIS)의 수행 기준으로 가장 옳지 않은 것은?,,음성-공항정보방송은 계기착륙시설(ILS) 음성채널로 방송되어서는 아니된다.,국제항공업무를 위해 지정된 공항에 제공되는 음성-공항정보방송은 반드시 영어로 제공되어야 한다.,음성-공항정보방송 메시지는 송신속도에 의해 저해되지 않도록 가능한 1분을 초과하지 않아야 한다.,음성-공항정보방송이 하나 이상의 언어로 제공될 경우에는 각 언어에 대해 별도의 회선을 사용할 수 있다.,3,해설: 음성-공항정보방송 메시지는 송신속도 또는 송신에 사용되는 항행안전시설의 식별신호에 의해 저해되지 않도록 가능한 '30초'를 초과하지 않아야 한다. [출처: 항공교통업무기준 제48조]
10,데이터링크-공항정보자동방송업무(D-ATIS)에 대한 설명으로 옳은 것은?,,D-ATIS로 제공되는 정보는 음성-ATIS의 내용 및 형식과 다르게 구성할 수 있다.,실시간 기상정보의 내용이 중요 변경기준 변수범위 이내일 때는 동일 지정어(designator)를 변경하여야 한다.,"음성-ATIS를 보충하고 갱신이 필요한 경우, 음성-ATIS와 D-ATIS는 일정한 시차를 두고 갱신되어야 한다.","항공기가 유효하지 않은 공항정보자동방송의 수신을 보고한 경우, 갱신할 필요가 있는 정보는 지체 없이 항공기에게 통보하여야 한다.",4,해설: 1은 내용과 형식이 동일하여야 한다. 2는 중요 변경기준 이내일 때는 동일 지정어를 유지하여야 한다. 3은 동시에 갱신되어야 한다. [출처: 항공교통업무기준 제48조]
