번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,관제구(Control Area) 및 관제권 설정 기준에 대한 설명으로 가장 옳지 않은 것은?,,관제구의 하부한계는 지상 또는 수면으로부터 200미터(700피트) 이상의 높이로 설정하여야 한다.,"관제구의 하부한계가 해발 900미터(3,000피트) 보다 높을 경우, 시계비행규칙(VFR) 순항고도와 일치시켜야 한다.",관제권의 수평범위는 비행장의 중심으로부터 접근 방향으로 최소한 9.3km(5NM)까지 연장되도록 설정하여야 한다.,관제구역 아래의 VFR 항공기가 자유롭게 비행할 수 있도록 관제구의 하부한계는 200미터(700피트) 미만으로 설정하여야 한다.,4,관제구역 아래의 VFR 항공기가 자유롭게 비행할 수 있도록 관제구의 하부한계는 규정된 최저치(200m)보다 높게 설정하여야 한다. (출처: 항공교통업무기준 제15조)
2,전방향무선표지시설(VOR)로 구성된 항공로의 주파수변경지점(COP) 설정에 관한 설명 중 옳은 것을 <보기>에서 모두 고른 것은?,"가. 정확한 항행을 지원하기 위하여 길이가 110km(60NM) 이상인 항공로에 설정하여야 하며, 항행안전시설이 밀집된 항공로는 예외로 한다.
나. 직선 항공로의 주파수변경지점은 VOR 간의 중간지점에 설정하는 것을 원칙으로 한다.
다. VOR의 방향이 교차되는 항공로의 경우에는 교차지점이 아닌 두 시설의 거리를 비례하여 중간지점에 설정하여야 한다.
라. 주파수변경지점은 신호 강도의 균형보다 방위각 유도의 공통 기준 보장을 최우선 목적으로 동일 고도에 한하여 설정된다.","가, 나","나, 다","가, 나, 다","가, 나, 라",1,다. 방향이 교차되는 항공로의 경우에는 교차지점에 설정하여야 한다. 라. 사용되는 '모든 고도'에서 신호 강도 및 품질의 최적 균형을 제공하고 방위각 유도의 공통 기준을 보장하기 위해 설정된다. (출처: 항공교통업무기준 제18조)
3,항공교통감시시스템이 완전히 고장났으나 무선통신이 가능한 경우 취해야 할 비상조치로 가장 적절한 것은?,,"적용해야 하는 분리최저치 상실이 예상되는 경우, 비상조치로서 당해 공역에 적용되는 수직 분리최저치의 3분의 1을 적용하여 안전을 확보한다.","비감시 업무를 계속 제공하고자 하는 경우, 일시적인 비상조치로 수직 분리최저치의 절반을 적용(비상분리)하여 항공기 안전을 확보한다.",항공교통감시시스템을 사용하지 않는 분리치를 즉시 적용할 수 있는 경우에도 반드시 수직 분리최저치의 절반을 일시적으로 적용해야 한다.,"비감시 업무를 계속 제공할 수 없는 경우, 해당 구역 내 모든 비행 중인 항공기에게 자체분리를 지시하고 관제이양을 전면 중단한다.",2,"분리치를 즉시 적용할 수 없거나 분리최저치 상실이 예상되는 경우, 일시적인 비상조치로 수직 분리최저치의 절반을 적용(비상분리)하여 안전을 확보한다. 비감시 업무 제공 불가 시 인접 시설에 합의서에 따라 관제 이양하거나 비상관제시설에서 업무를 제공해야 한다. (출처: 항공교통업무기준 제29조의2)"
4,항공교통업무용 시간에 대한 설명으로 옳지 않은 것은?,,비행장관제탑은 조종사가 다른 방법으로 시간정보를 획득할 수 있는 별도의 절차가 없다면 이륙 전 지상이동 시작 전에 정확한 시간을 제공해야 한다.,항공교통업무시설의 시계는 국제표준시간(UTC)으로부터 30초 이내의 정확한 시간이 유지되도록 점검하여야 한다.,데이터링크 통신을 사용하는 경우에는 국제표준시간으로부터 1초 이내의 정확한 시간이 유지되도록 점검하여야 한다.,"항공교통업무시설은 조종사 요구 시 정확한 시간을 제공하여야 하며, 시간점검은 가까운 1분을 기준으로 분단위로 하여야 한다.",4,조종사 요구 시 제공하는 시간점검은 가까운 30초를 기준으로 분단위로 하여야 한다. (출처: 항공교통업무기준 제30조)
5,항공교통관제사 피로관리에 대한 설명으로 가장 옳지 않은 것은?,,국토교통부 소속 항공교통관제시설의 장은 피로관리 경감조치 등 운영실적을 매 분기마다 항공교통본부장에게 제출하여야 한다.,"예상하지 못한 상황 변화로 근무시간 제한을 일시적(1개월 미만)으로 적용할 수 없는 경우, 예외 적용절차를 수행하고 기록하여야 한다.",근무시간 제한기준 예외 적용 승인을 받은 후 중대한 피로위험요인이 식별되는 경우 즉시 예외적 적용을 중단하고 원상회복 조치를 취해야 한다.,국토교통부 소속 항공교통관제시설의 장은 관제사의 근무시간 등에 대한 기록을 15개월 이상 보관하여야 한다.,1,경감조치 등 운영실적은 매 반기마다 항공교통본부장에게 제출하여야 한다. 매 분기마다가 아니다. (출처: 항공교통업무기준 제32조의2)
6,비행장관제 업무 시설과 접근관제 업무 시설 간 관제이양 시기에 대한 조건으로 옳지 않은 것은?,,도착항공기가 지상 참조점을 육안으로 식별하여 접근 및 착륙을 완료할 수 있을 것으로 판단될 때 접근관제시설에서 비행장관제탑으로 관제이양한다.,도착항공기가 계속해서 시계비행기상상태(VMC)를 유지할 것으로 판단될 때 접근관제시설에서 비행장관제탑으로 관제이양한다.,"비행장 주위가 시계비행기상상태일 경우, 출발항공기가 비행장 주위를 떠난 직후 비행장관제탑에서 접근관제시설로 이양한다.","비행장 주위가 계기비행기상상태일 경우, 이륙 직후 출발항공기를 비행장관제탑에서 접근관제시설로 관제이양한다.",3,"비행장 주위가 시계비행기상상태일 경우 출발항공기는 비행장 주위를 떠나기 전, 계기비행기상상태에 진입 전, 또는 합의된 지점/고도에서 이양된다. 떠난 직후가 아니다. (출처: 항공교통업무기준 제41조)"
7,항공교통관제허가의 복창(Read-back)에 관한 설명으로 가장 옳지 않은 것은?,,"활주로 진입, 착륙, 이륙, 대기, 횡단, 역주행 허가 및 지시사항은 항상 복창하여야 한다.","사용활주로, 고도계 수정치, 2차 감시레이더용 트랜스폰더의 배정부호, 고도·기수·속도 지시 및 전이고도는 항상 복창하여야 한다.",관제사-조종사 데이터링크통신(CPDLC) 전문에 대하여도 특별히 정한 예외를 제외하고 음성으로 복창하는 것을 원칙으로 한다.,조건부 허가사항에 대하여는 이해하고 이행하겠다는 것을 명확한 방법으로 복창하거나 응답하여야 한다.,3,"관계 항공교통업무제공자가 별도로 정하는 경우를 제외하고, 관제사-조종사 데이터링크통신(CPDLC) 전문에 대한 음성 복창을 요구할 수 없다. (출처: 항공교통업무기준 제42조)"
8,다운스트림 허가(Downstream clearance)와 관할 공역 외 비행 허가 협조에 대한 설명으로 옳은 것만을 <보기>에서 고른 것은?,"가. 항공기가 관제구역 내 비행장에서 출발하여 출발 후 30분 이내에 다른 관제구역으로 진입하려는 경우, 출발허가를 발부하기 전에 후속 지역관제소와 조정하여야 한다.
나. 관제이양지점에 도달하기 전에 다운스트림허가를 받는 동안, 항공기는 현재의 항공교통관제시설과 통신을 중단하고 즉각 다운스트림 기관과 교신해야 한다.
다. 사전 조정되지 않은 다운스트림허가는 발부 기관의 관할공역 외에서 해당 항공기의 기존 비행 프로파일에 영향을 미쳐서는 안 된다.
라. 관제공역 밖의 비행을 위해 이탈하였다가 재진입하는 경우 출발지점에서 최초 착륙비행장까지 허가할 수 있으며, 이 허가는 비관제공역 비행 중에도 항공교통관제 지시로서 구속력을 갖는다.","가, 나","가, 다","나, 라","다, 라",2,나: 다운스트림 허가를 받는 동안 현재의 항공교통관제시설과 양방향 통신을 유지하여야 한다. 라: 이러한 허가 또는 수정된 허가는 '관제공역 내를 비행하는 경우에만' 적용하여야 한다. (출처: 항공교통업무기준 제42조)
9,수용량 산정 및 관리에 대한 설명으로 가장 옳지 않은 것은?,,"관제수용량 산출 시 관제구역의 복잡도, 항공교통관제사의 업무량, 사용 중인 시스템의 신뢰도 및 가용성 등을 종합적으로 고려하여야 한다.","기상 악화나 장비 장애 등 관제수용량에 부정적 영향을 미치는 상황 발생 시, 항공교통관제시설은 축소된 운영수용량을 산출하여 항공교통흐름관리시설에 통보하여야 한다.","추가적인 항공교통을 수용할 수 없거나 제한된 비율로만 수용이 가능한 경우, 항공교통흐름관리시설에 문서로 사전 통보를 완료한 이후에만 조치를 시행할 수 있다.","항공교통관제시설은 관제수용량을 매년 2월 말까지 주기적으로 재검토하고, 항공교통흐름관리시설에 공문 등으로 통보하여야 한다.",3,"추가 항공교통을 수용할 수 없다고 판단되는 경우 '즉시' 항공교통흐름관리시설에 통보해야 하며, 운영수용량 통보 시 구두 또는 상호 협의된 방법으로 통보할 수 있다. 서면 완료 후 시행 조건은 없다. (출처: 항공교통업무기준 제42조의2)"
10,항공교통흐름관리(ATFM) 단계에 대한 설명으로 올바르게 짝지어진 것은?,"가. 전략 단계(strategic planning)
나. 전-전술 단계(pre-tactical planning)
다. 전술 단계(tactical planning)",가: 시행일 기준 6개월 전부터 당일까지의 기간,나: 시행일 당일(2시간 전)부터 실시간 종료 시까지의 기간,가: 수요 및 수용량의 불균형을 조기 식별하여 계획을 수립하는 시행일 기준 약 6개월 전부터 일주일 전까지의 기간,다: 시행일 기준 6일 전부터 당일(2시간 전)까지 예상 수용량을 계획하는 단계,3,"전략 단계는 약 6개월 전부터 일주일 전까지, 전-전술 단계는 6일 전부터 당일(2시간 전)까지, 전술 단계는 시행일 2시간 전부터 종료 시까지를 말한다. (출처: 항공교통업무기준 제42조의3)"
