번호,문제,보기박스,보기1,보기2,보기3,보기4,정답,해설
1,현행 항공교통업무기준 상 용어의 정의에 대한 설명으로 가장 옳지 않은 것은?,,에어택싱(Air-taxiing)이란 회전익/수직이착륙항공기가 일반적으로 대지속도 37km/h(20kt) 미만으로 지표면 효과를 이용하여 비행장 지표 상공을 비행하는 기동형태를 말한다.,"공시수용량이란 기상, 가용 인력 및 장비 등의 요소를 고려하여 일정 시간 동안 특정 공역 구간으로 진입하는 항공기 수로 표현되는 척도이다.","비행장교통이란 비행장의 기동지역에 있는 모든 교통 및 비행장 주변을 비행 중인 모든 항공기를 말하며, 비행장교통장주를 이탈 중인 항공기도 포함된다.","비행고도(Flight level)란 평균해면고도(Mean sea level)로부터 측정된 수평면, 점 또는 점으로 간주되는 특정 물체까지의 수직거리를 말한다.",4,[항공교통업무기준 제5조] 보기 4는 '고도(Altitude)'에 대한 설명이다. '비행고도(Flight level)'란 특정한 기압(1013.2hpa)을 기준하여 특정한 기압간격으로 분리된 일정 기압면을 말한다.
2,"비행정보구역, 관제구 및 관제권 설정기준에 대한 내용으로 <보기>에서 옳은 것을 모두 고른 것은?","가. 관제구의 하부한계는 지상 또는 수면으로부터 200미터(700피트) 이상의 높이로 설정하여야 한다.
나. 고고도비행정보구역에 의해 범위가 제한되는 경우, 고고도비행정보구역의 하부한계는 비행정보구역의 상부한계이어야 하며 계기비행규칙(IFR) 순항고도와 일치하여야 한다.
다. 관제권의 수평범위는 비행장의 중심으로부터 접근 방향으로 최소한 9.3km (5NM)까지 연장되도록 설정하여야 한다.
라. 관제권 상부한계가 해발 900미터(3,000피트) 보다 높을 경우, 계기비행규칙(IFR) 순항고도와 일치시켜야 한다.","가, 나","가, 다","나, 라","다, 라",2,"[항공교통업무기준 제15조] 나. 계기비행규칙(IFR)이 아닌 시계비행규칙(VFR) 순항고도와 일치하여야 한다. 라. 관제권 상부한계가 해발 900미터(3,000피트) 보다 높을 경우 역시 시계비행규칙(VFR) 순항고도와 일치시켜야 한다."
3,항공교통관제시설 간의 관제이양에 대한 설명으로 가장 옳지 않은 것은?,,착륙을 위하여 접근 중인 항공기는 비행장 주위에서 계속해서 시계비행기상상태가 유지될 때 접근관제시설에서 비행장관제탑으로 이양한다.,"비행장 주위가 계기비행기상상태(IMC)일 경우, 출발항공기는 항공기가 비행장 주위를 떠나기 전 또는 시설 간 합의된 지점에서 접근관제업무를 제공하는 시설로 관제이양한다.","관제이양을 받는 인수시설은 항공기와 양방향 무선통신 또는 데이터링크 통신이 이루어지는 즉시, 특별한 합의가 없는 한 통신이 이루어지고 있음을 인계시설에 통보하여야 한다.","지역관제시설이나 비행장관제탑에서 접근관제업무의 일부분을 제공하도록 사전 협의된 경우, 접근관제시설이 있더라도 지역관제시설에서 비행장관제탑으로 직접 관제이양이 이루어질 수 있다.",2,[항공교통업무기준 제41조 및 별표1 4.3.2.1.3] 보기 2에서 비행장 주위가 계기비행기상상태(IMC)일 경우 출발항공기는 '이륙 직후' 또는 '합의된 지점/고도'에서 관제이양한다. '비행장 주위를 떠나기 전'은 시계비행기상상태(VMC)일 경우의 기준이다.
4,경보업무와 관련하여 구조조정센터(RCC)에 통보해야 하는 비상상황 단계에 대한 설명 중 <보기>와 연결이 올바른 것은?,"ㄱ. 항공기가 착륙허가를 받고도 착륙예정 시간으로부터 5분 이내에 착륙하지 아니한 상태에서 무선교신이 되지 않는 경우
ㄴ. 항공기의 효율적인 비행능력이 상실되었으나 불시착하였을 가능성이 없음을 나타내는 정보를 입수한 경우
ㄷ. 연락이 있어야 할 시간 또는 첫 번째 교신시도가 실패한 시간 중 더 빠른 시간으로부터 30분 이내에 연락이 없는 경우
ㄹ. 항공기의 안전한 도착에 필요한 항공기 탑재연료가 고갈되었거나 부족한 것으로 판단되는 경우","ㄱ: 경보상황(ALERFA), ㄴ: 조난상황(DETRESFA), ㄷ: 불확실상황(INCERFA), ㄹ: 조난상황(DETRESFA)","ㄱ: 경보상황(ALERFA), ㄴ: 경보상황(ALERFA), ㄷ: 불확실상황(INCERFA), ㄹ: 조난상황(DETRESFA)","ㄱ: 조난상황(DETRESFA), ㄴ: 경보상황(ALERFA), ㄷ: 불확실상황(INCERFA), ㄹ: 경보상황(ALERFA)","ㄱ: 불확실상황(INCERFA), ㄴ: 경보상황(ALERFA), ㄷ: 경보상황(ALERFA), ㄹ: 조난상황(DETRESFA)",2,[항공교통업무기준 제51조] ㄱ은 5분 이내 미착륙 및 교신두절로 경보상황(ALERFA)이다. ㄴ은 불시착 가능성이 없으므로 경보상황(ALERFA)이다(만약 불시착 가능성이 있다면 조난상황). ㄷ은 30분 이내 연락 두절로 불확실상황(INCERFA)이다. ㄹ은 연료 고갈/부족으로 조난상황(DETRESFA)이다.
5,항공교통관제 우발절차(감시시스템 고장)에 관한 내용으로 가장 옳은 것은?,,"비감시 업무를 계속 제공할 수 없는 경우, 일시적인 비상조치로서 당해 공역에 적용되는 수직 분리최저치의 2배를 적용하여 비상분리를 실시해야 한다.","항공교통감시시스템이 완전히 고장났으나 무선통신이 가능한 경우, 비행장관제탑도 즉시 비상분리 절차를 적용하여야 한다.",우발절차 시행 전에는 사전 안전 위험도 평가 없이 즉각적으로 대체 분리최저치를 적용하여 관제업무를 속행하여야 한다.,비감시 업무를 계속 제공하고자 하는 관제시설은 정기교육훈련 과정에 모의관제훈련을 포함하고 이를 연 2회 이상 실시해야 한다.,4,[항공교통업무기준 제29조의2] 보기 1: 수직 분리최저치의 2배가 아니라 '절반'을 적용하는 것이 비상분리(emergency separation)이다. 보기 2: 비행장관제탑 또는 비감시 업무 제공이 가능한 시설은 2항의 조치 대상에서 제외된다. 보기 3: 우발절차 시행 전 제32조에 따른 안전 위험도 평가를 수행하여 허용 가능한 안전수준을 확인하여야 한다.
6,항공교통흐름관리(ATFM) 단계에 대한 설명으로 바르게 짝지어진 것은?,"ㄱ. 통상적으로 흐름관리 조치가 시행되는 당일을 기준으로 약 6개월 전부터 일주일 전까지의 기간
ㄴ. 실제 흐름관리 조치가 시행되는 당일 조치 시행 2시간 전부터 실시간을 포함하여 종료 시까지
ㄷ. 흐름관리 조치가 시행되는 당일을 기준으로 6일 전부터 당일(2시간 전)까지의 기간","ㄱ: 전략 단계, ㄴ: 전술 단계, ㄷ: 전-전술 단계","ㄱ: 전략 단계, ㄴ: 전-전술 단계, ㄷ: 전술 단계","ㄱ: 전-전술 단계, ㄴ: 전략 단계, ㄷ: 전술 단계","ㄱ: 전-전술 단계, ㄴ: 전술 단계, ㄷ: 전략 단계",1,"[항공교통업무기준 제42조의3] ㄱ은 전략 단계(strategic planning), ㄷ은 전-전술 단계(pre-tactical planning), ㄴ은 전술 단계(tactical planning)에 해당한다."
7,항적 난기류(Wake turbulence) 분리에 따른 항공기 등급 및 그룹 분류에 대한 설명으로 가장 옳지 않은 것은?,,"대형(HEAVY, H) 범주는 초대형(J) 범주를 제외한 최대이륙중량 136,000kg 이상의 항공기 기종을 말한다.","중형(MEDIUM, M) 범주는 최대이륙중량 7,000kg 초과 136,000kg 미만의 항공기 기종을 말한다.","소형(LIGHT, L) 범주는 최대이륙중량 7,000kg 미만의 항공기 기종을 말한다.","항적 난기류 그룹 A는 초대형(SUPER) 범주에 해당하며, 주 날개폭(Wing Span)이 74.68m 초과 80m 이하인 항공기이다.",3,"[항공교통업무기준 별표1 4.9.1.1] 소형(LIGHT, L) 범주는 최대이륙중량 7,000kg '미만'이 아니라 7,000kg '이하'의 항공기 기종을 말한다. 중형은 7,000kg '초과' 136,000kg '미만'이다."
8,수평 속도조절 지시(Horizontal speed control instructions)에 대한 기준으로 옳지 않은 것을 모두 고른 것은?,"가. 체공장주에 진입하거나 체공 중인 항공기에게는 속도조절을 적용하여서는 아니 된다.
나. 7,600m(FL 250) 미만에서 속도조절은 지시대기속도(IAS)를 기준으로 10km/h(5knots)의 배수로 지시하여야 한다.
다. 4,550m(FL 150) 미만에서 터보제트 항공기의 속도를 410km/h(220kt) IAS 미만으로 감속하지 않도록 해야 한다.
라. 활주로시단으로부터 9.3km(5NM) 지점 이내에서 최종접근 중인 항공기에게는 속도조절 지시를 하여서는 아니 된다.","가, 나","나, 라","다, 라","나, 다, 라",2,"[항공교통업무기준 별표1 4.6.1~4.6.3] 나: 7,600m(FL 250) 미만에서는 20km/h(10knots)의 배수로 지시하여야 한다. 라: 최종접근 중인 항공기에 대한 속도조절 금지 구간은 활주로시단으로부터 '7km (4NM)' 지점 이내이다."
9,항공고정통신업무(지상통신) 및 관련 통신요건에 대한 설명으로 가장 옳은 것은?,,레이더 또는 ADS-B를 이용하여 관제권 이양을 하기 위한 목적인 경우 직접통화 또는 데이터링크 통신은 15초 이내에 이루어져야 한다.,서면기록이 필요한 인쇄통신(printed communications)의 경우에는 통신의 전문송신시간이 10분을 초과해서는 안 된다.,데이터 및 통신녹음 자료는 최소한 15일간 보존하여야 한다.,"비행정보구역 간 항공고정통신업무를 수행할 때, 레이더 등을 이용한 관제권 이양 목적이 아닌 일반적인 통신은 15초 이내에 이루어져야 한다.",4,[항공교통업무기준 제57조] 보기 1: 레이더/ADS-B 이용 관제권 이양 목적의 통신은 '즉시' 이루어져야 한다 (15초 이내는 다른 목적일 경우). 보기 2: 인쇄통신 전문송신시간은 '5분'을 초과해서는 안 된다. 보기 3: 데이터 및 통신녹음 자료는 최소한 '30일간' 보존되어야 한다.
10,비행 중 우발상황에서의 특별항공관측보고(Special air-reports)를 발행토록 하는 조건에 해당하지 않는 것은?,,우발상황 중 중간 또는 심각한 착빙을 조우한 경우,가려지거나 내포된 뇌우를 조우한 경우 (우박 동반 여부 무관),천음속 및 초음속 비행 중 약한(Light) 난기류를 조우한 경우,발생한 활주로 제동상태가 보고된 수치보다 좋지 않은 경우,3,[항공교통업무기준 별표1 4.12.3.1] 천음속 및 초음속 비행의 경우 특별항공관측보고 조건은 '중간(Moderate) 정도의 난기류'이다. 약한 난기류는 조건에 해당하지 않는다.
